order_item_sk,order_id,product_id,product_category_name,unit_price,discount_amount,refund_amount,net_revenue,order_purchase_timestamp,purchase_date,purchase_month,geolocation_state
29464,e481f51cbdc54678b7cc49136f2d6af7,6c222e25e3d3c28a643590b836585b4e,bebes,59.90,0.00,0.00,59.90,2017-10-02 10:56:00.0000000,2017-10-02,2017-10-01,SP
10735,53cdb2fc8bc7dce0b6741e2150273451,16007704980fa90718364a0dd747133e,beleza_saude,14.90,1.79,0.00,13.11,2018-07-24 20:41:00.0000000,2018-07-24,2018-07-01,SP
9135,47770eb9100c2d0c44946d9cf07ec65d,9ba7a2e6df6dbaa83fe78f9b4ea0b3fa,moveis_decoracao,19.90,2.49,0.00,17.41,2018-08-08 08:38:00.0000000,2018-08-08,2018-08-01,SP
2510,136cce7faa42fdb2cefd53fdc79a6098,85f493d343229dcd90aaa5fa5a2d39a0,beleza_saude,27.40,3.29,0.00,24.11,2017-04-11 12:22:00.0000000,2017-04-11,2017-04-01,SP
6658,34513ce0c4fab462a55830c0989c7edb,dc523b958f892102fd63bb7a60fea902,automotivo,139.00,16.68,0.00,122.32,2017-07-13 19:58:00.0000000,2017-07-13,2017-07-01,SP
12246,5ff96c15d0b717ac6ad1f3d77225a350,51065e36eb621dc8c9be3e291b1d41de,esporte_lazer,15.90,1.91,0.00,13.99,2018-07-25 17:44:00.0000000,2018-07-25,2018-07-01,SP
8582,432aaf21d85167c2c86ec9448c4e42cc,44dc6124432da8482da2977dbfa88f59,beleza_saude,98.80,11.86,0.00,86.94,2018-03-01 14:14:00.0000000,2018-03-01,2018-03-01,SP
17103,85ce859fd6dc634de8d2f1e290444043,fdd6cd13962a20732851bc7cefd37549,cama_mesa_banho,79.99,10.00,0.00,69.99,2017-11-21 00:03:00.0000000,2017-11-21,2017-11-01,SP
16748,83018ec114eee8641c97e08f7b4e926f,977ba64f692dbbeeb81d35ad7f953c5f,esporte_lazer,110.00,13.20,0.00,96.80,2017-10-26 15:54:00.0000000,2017-10-26,2017-10-01,SP
31379,f3e7c359154d965827355f39d6b1fdac,7402c8cf69df715729b26da0ac2cc721,eletroportateis,34.90,0.00,0.00,34.90,2018-08-09 11:44:00.0000000,2018-08-09,2018-08-01,SP
32409,fbf9ac61453ac646ce8ad9783d7d0af6,3e31fd1419cc4cd6adad1925e72e3a03,cool_stuff,99.00,0.00,0.00,99.00,2018-02-20 23:46:00.0000000,2018-02-20,2018-02-01,SP
3022,1790eea0b567cf50911c057cf20f90f9,2a0bfe6be429db305a3573662ae96f2d,beleza_saude,59.90,7.19,0.00,52.71,2018-04-16 21:15:00.0000000,2018-04-16,2018-04-01,SP
8601,434d158e96bdd6972ad6e6d73ddcfd22,3b30fb3ac17cda9e7e5b5112c692f665,cool_stuff,163.90,19.67,0.00,144.23,2018-06-01 12:23:00.0000000,2018-06-01,2018-06-01,SP
